Código Cliente;Nível de risco;Possui servidor CFTV;Pessoa Física, Jurídica, ou Órgão Público;Estado;Cidade;Bairro;Data/hora;Código do evento;Confirmado
10049;5;0;0;SP;SAO CARLOS;JARDIM IPANEMA;2019-01-01 00:02:12.497;E131;1
10049;5;0;0;SP;SAO CARLOS;JARDIM IPANEMA;2019-01-01 00:02:17.440;E131;1
10049;5;0;0;SP;SAO CARLOS;JARDIM IPANEMA;2019-01-01 00:02:27.303;E131;1
11794;4;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 00:12:09.100;E130;0
9658;5;1;0;SP;SAO CARLOS;CENTRO;2019-01-01 00:36:35.657;E131;1
11445;4;1;0;SP;SAO CARLOS;JARDIM GILBERTONI;2019-01-01 00:36:45.087;E130;0
11401;5;0;1;SP;IBATE;RURAL;2019-01-01 00:41:30.303;E130;0
11401;5;0;1;SP;IBATE;RURAL;2019-01-01 00:42:37.980;E130;0
11401;5;0;1;SP;IBATE;RURAL;2019-01-01 00:42:51.460;E130;0
11401;5;0;1;SP;IBATE;RURAL;2019-01-01 00:43:33.987;E130;0
11765;4;0;1;SP;SAO CARLOS;JARDIM SÃO CARLOS;2019-01-01 01:06:34.470;E131;0
11724;3;0;0;SP;SAO CARLOS;VILA PRADO;2019-01-01 01:21:18.907;E130;0
11791;4;0;1;SP;SAO CARLOS;CENTRO;2019-01-01 01:53:37.327;E130;0
11791;4;0;1;SP;SAO CARLOS;CENTRO;2019-01-01 01:53:44.397;E130;0
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 02:00:31.237;1902;0
6578;4;0;1;SP;SAO CARLOS;PLANALTO PARAÍSO;2019-01-01 02:19:44.620;E130;1
11742;4;1;0;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 02:56:48.377;1902;0
11619;5;1;1;SP;SAO CARLOS;RECREIO DOS BANDEIRANTES;2019-01-01 02:56:48.377;1902;0
4589;4;0;0;SP;SAO CARLOS;CIDADE JARDIM;2019-01-01 03:30:17.480;E131;1
4589;4;0;0;SP;SAO CARLOS;CIDADE JARDIM;2019-01-01 03:30:25.757;E131;1
11310;5;1;0;SP;SAO CARLOS;PARQUE SANTA FELICIA JARDIM;2019-01-01 03:42:26.613;1902;0
11214;3;0;1;SP;SAO CARLOS;JARDIM BEATRIZ;2019-01-01 03:43:05.150;E134;0
11319;5;0;0;SP;SAO CARLOS;CHÁCARA DAS FLORES;2019-01-01 03:59:29.850;E130;0
11319;5;0;0;SP;SAO CARLOS;CHÁCARA DAS FLORES;2019-01-01 03:59:37.750;E130;0
6578;4;0;1;SP;SAO CARLOS;PLANALTO PARAÍSO;2019-01-01 04:17:05.393;E130;1
6578;4;0;1;SP;SAO CARLOS;PLANALTO PARAÍSO;2019-01-01 04:41:46.910;E130;1
11401;5;0;1;SP;IBATE;RURAL;2019-01-01 04:54:18.987;E130;0
11644;4;0;1;SP;SAO CARLOS;JARDIM CENTENÁRIO;2019-01-01 06:08:17.030;E131;0
11715;3;0;0;SP;SAO CARLOS;CENTRO;2019-01-01 07:01:39.807;E131;0
11445;4;1;0;SP;SAO CARLOS;JARDIM GILBERTONI;2019-01-01 07:14:03.880;E130;0
11445;4;1;0;SP;SAO CARLOS;JARDIM GILBERTONI;2019-01-01 07:20:00.840;E130;0
11715;3;0;0;SP;SAO CARLOS;CENTRO;2019-01-01 07:31:54.123;E131;0
11715;3;0;0;SP;SAO CARLOS;CENTRO;2019-01-01 07:35:25.507;E131;0
11406;3;0;0;SP;SAO CARLOS;JARDIM PARAISO;2019-01-01 07:39:14.703;E130;0
11684;3;0;1;SP;SAO CARLOS;JARDIM ARAUCARIA;2019-01-01 08:08:51.673;E301;0
11494;4;0;0;SP;SAO CARLOS;CENTRO;2019-01-01 08:12:26.423;E130;0
11494;4;0;0;SP;SAO CARLOS;CENTRO;2019-01-01 08:13:57.890;E130;0
11724;3;0;0;SP;SAO CARLOS;VILA PRADO;2019-01-01 08:17:36.077;E130;0
11859;4;0;0;SP;SAO CARLOS;JARDIM BANDEIRANTES;2019-01-01 08:24:52.563;E131;0
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 09:22:56.120;E130;1
8984;4;1;2;SP;SAO CARLOS;RESID MONS ROMEU TORTORELLI;2019-01-01 09:23:03.527;E130;1
11319;5;0;0;SP;SAO CARLOS;CHÁCARA DAS FLORES;2019-01-01 09:32:34.083;E130;0
11454;4;1;0;SP;SAO CARLOS;CEAT;2019-01-01 09:33:47.977;E130;0
11454;4;1;0;SP;SAO CARLOS;CEAT;2019-01-01 09:33:56.330;E130;0
11319;5;0;0;SP;SAO CARLOS;CHÁCARA DAS FLORES;2019-01-01 09:34:50.757;E130;0
11632;5;0;0;SP;SAO CARLOS;JARDIM LUTFALLA;2019-01-01 09:46:36.963;E131;0
11632;5;0;0;SP;SAO CARLOS;JARDIM LUTFALLA;2019-01-01 10:17:43.883;E131;0
